Entity,Code,Year,Oil (terawatt-hours),Gas (terawatt-hours),Coal (terawatt-hours)
Belgium,BEL,2001,360.13458,153.28074999999978,86.095727
Belgium,BEL,2002,369.10131,155.58549999999977,74.48433500000002
Belgium,BEL,2003,391.61699000000004,167.49524999999974,69.93700500000001
Belgium,BEL,2004,391.89610999999996,169.44899999999973,68.24135100000001
Belgium,BEL,2005,391.04711999999995,171.28449999999975,60.149197
Belgium,BEL,2006,393.23356000000007,174.48049999999975,57.590596999999995
Belgium,BEL,2007,401.9793200000001,173.61874999999975,51.406926000000006
Belgium,BEL,2008,418.0985,172.56774999999973,52.90138100000001
Belgium,BEL,2009,366.86835,175.74974999999972,36.486799000000005
Belgium,BEL,2010,380.3824100000001,197.61474999999967,43.762527000000006
Belgium,BEL,2011,354.99412000000007,165.06721833929976,40.845723
Belgium,BEL,2012,344.62016000000006,167.0067093248997,37.393939
Belgium,BEL,2013,350.58635000000004,164.91082529519971,38.884905
Belgium,BEL,2014,345.53893000000005,144.33383704049976,38.759301
Belgium,BEL,2015,360.0415400000001,158.20358514479975,37.019453000000006
Belgium,BEL,2016,369.47654368389453,161.49054713759975,34.63860592
Brazil,BRA,1965,172.62409000000002,0.522149696775,20.178050000000002
Brazil,BRA,1966,188.01058,0.610609453875,21.864400000000003
Brazil,BRA,1967,194.13959,0.6902541652500002,22.59709
Brazil,BRA,1968,233.15824000000003,0.729483696225,22.236560000000004
Brazil,BRA,1969,255.46458000000004,0.7688163271499999,24.81842
Brazil,BRA,1970,291.20755807477906,0.8247996,28.344795610120006
Brazil,BRA,1971,321.3791914727929,1.29905937,28.532440356840002
Brazil,BRA,1972,370.0881584089056,1.7836291350000002,30.035911735310002
Brazil,BRA,1973,454.5711255712323,2.04137901,29.518560500940005
Brazil,BRA,1974,488.99593779460895,3.9281080950000002,31.312281940600002
Brazil,BRA,1975,504.2763924354033,4.26833793,37.225247827100006
Brazil,BRA,1976,545.9571386351196,4.9178676150000005,39.72639494093
Brazil,BRA,1977,563.3543001618688,6.134447025,50.386036912570006
Brazil,BRA,1978,620.8271750227101,8.072726085,57.935014763110004
Brazil,BRA,1979,658.3960284001198,8.845975710000001,62.92865974814
Brazil,BRA,1980,639.3841013612313,10.340924985000003,68.644761973
Brazil,BRA,1981,608.0144719156913,9.2789955,67.15785671543001
Brazil,BRA,1982,625.4688149301987,13.258653570000002,70.99180348072001
Brazil,BRA,1983,607.1650275210626,17.929081305,79.83681000467
Brazil,BRA,1984,627.2785168499282,20.86742988,98.59130966056
Brazil,BRA,1985,649.1852948728439,26.177077305000005,116.54804306995001
Brazil,BRA,1986,732.0676567111303,30.496965210000003,117.99250417732
Brazil,BRA,1987,752.2560417853912,34.043603489999995,123.5547914414
Brazil,BRA,1988,769.5015815447574,34.270423380000004,126.26783377090001
Brazil,BRA,1989,782.2891691165416,35.136462959999996,125.29147891912001
Brazil,BRA,1990,761.4997701030721,31.98987310599,111.62079044734801
Brazil,BRA,1991,773.2376624859139,33.25651785171,127.963541910876
Brazil,BRA,1992,827.1529465630109,37.673742419505004,124.18001427753605
Brazil,BRA,1993,859.3366433327136,44.132335687305,127.936268844468
Brazil,BRA,1994,916.9384907118427,48.197360515905004,131.33164935878403
Brazil,BRA,1995,955.4054776657009,53.19413052264,137.72982238545598
Brazil,BRA,1996,1014.4779563628283,58.60715626750499,142.119135277728
Brazil,BRA,1997,1075.3535183504243,63.689540472720005,142.97126166078002
